Date,Open,Close,High,Low,Pcr,Volume
2015-01-01,2051.65,2058.95,2059.15,2051.65,0.00,0
2015-01-02,2055.00,2046.25,2067.25,2038.75,2.60,1092643
2015-01-05,2045.75,2016.00,2048.25,2009.50,2.19,1203391
2015-01-06,2019.00,1994.50,2023.50,1984.25,1.92,1148397
2015-01-07,1996.50,2019.50,2023.75,1995.75,1.59,967053
2015-01-08,2020.50,2055.00,2058.50,2020.25,1.71,1068332
2015-01-09,2053.75,2035.25,2062.00,2031.25,2.04,1020884
2015-01-12,2034.50,2022.50,2048.25,2015.25,2.39,599571
2015-01-13,2023.75,2016.00,2051.75,2001.00,1.58,909486
2015-01-14,2017.25,2007.50,2019.50,1981.25,2.00,1093864
2015-01-15,2009.75,1989.00,2027.25,1978.25,1.71,1115816
2015-01-16,1980.75,2013.00,2014.25,1970.25,2.15,1156313
2015-01-18,2013.65,2010.65,2013.65,2008.55,0.00,0
2015-01-19,2010.45,2009.95,2023.65,2003.15,0.00,0
2015-01-20,2013.50,2016.75,2026.50,1997.50,2.03,647603
2015-01-21,2015.75,2026.50,2032.75,2005.25,2.03,904479
2015-01-22,2026.75,2056.50,2059.25,2019.25,1.86,923323
2015-01-23,2056.50,2044.00,2062.50,2042.25,1.93,1163070
2015-01-26,2035.00,2053.50,2055.00,2025.50,1.80,627267
2015-01-27,2054.00,2030.00,2054.75,2013.25,1.85,709059
2015-01-28,2036.50,1991.50,2046.50,1991.25,1.78,806235
2015-01-29,1993.50,2018.50,2020.00,1982.00,1.99,1165819
2015-01-30,2019.25,1988.50,2020.50,1986.25,2.53,1183397
2015-02-02,1990.50,2017.00,2018.50,1973.75,1.63,835239
2015-02-03,2015.00,2042.00,2044.00,2007.00,1.94,956485
2015-02-04,2040.50,2030.00,2049.25,2022.75,2.25,641269
2015-02-05,2025.00,2055.00,2058.75,2020.75,1.73,805165
2015-02-06,2056.25,2053.00,2068.00,2044.50,1.76,1493445
2015-02-09,2050.00,2042.50,2051.75,2036.50,1.90,763948
2015-02-10,2043.75,2062.25,2066.50,2040.50,1.68,721467
2015-02-11,2062.75,2065.75,2079.50,2053.25,1.85,664624
2015-02-12,2071.50,2084.00,2085.50,2058.50,1.56,913194
2015-02-13,2083.00,2093.50,2095.00,2081.50,1.97,1083323
2015-02-15,2091.65,2089.65,2093.65,2089.65,0.00,0
2015-02-16,2089.45,2084.15,2093.65,2081.65,0.00,0
2015-02-17,2091.25,2096.00,2098.75,2080.75,1.74,760038
2015-02-18,2096.50,2095.50,2098.50,2088.50,2.19,1126377
2015-02-19,2095.25,2095.25,2099.50,2087.25,1.46,1005777
2015-02-20,2096.00,2107.00,2108.75,2082.25,1.78,917104
2015-02-23,2107.25,2106.75,2108.25,2099.75,1.55,617192
